trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.975}",25,9,-73.44071337149639,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.95}",30,8,-39.06349638735853,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-116.5229302678913,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,17,-32.52153076172819,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-30.76092376677601,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-116.77217154550327,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,0,-60.90346375214887,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,10,9.984479639419867,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-155.61519039646072,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-80.08171447837276,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.7249999999999998}",30,0,-84.2643233710535,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-61.98464473336858,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.6749999999999997}",35,0,-94.8948423009428,"{0: 26, 1: 0, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-64.88486640706975,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,5,-34.10902079425911,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-90.36717777806484,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.5749999999999996}",30,0,-19.11303930904173,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-118.83624567649545,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,0,-58.201295115189104,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,0,-136.32258425252488,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,8,-35.587280272019065,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,-58.8401382088762,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,0,-96.32676330445615,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,0,-42.117695530674524,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.37499999999999944}",30,0,-23.459542814045893,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,16,5.63225230795791,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.3249999999999994}",25,9,9.613452945591717,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2999999999999994}",30,3,7.780428973241372,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.27499999999999936}",30,0,-70.05353114547684,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.24999999999999936}",25,9,-42.726871434173866,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.22499999999999937}",25,0,12.889257078882999,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.19999999999999937}",20,0,25.96067194647274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.17499999999999938}",20,12,2.160437307352367,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
