trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8}",20,0,-79.363913437405,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.6400000000000001}",20,0,-68.9251293180141,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.5120000000000001}",20,0,-85.44384040693495,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.40960000000000013}",20,0,-49.26279376647103,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.32768000000000014}",25,17,-13.439341426820143,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.2621440000000001}",20,0,-42.19677252370205,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.2097152000000001}",20,2,-54.49995218494957,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.1677721600000001}",25,13,-10.41614142574565,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.13421772800000006}",25,8,5.580659860718571,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.10737418240000006}",20,11,19.69054182936212,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.08589934592000005}",25,7,-21.707913772486496,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.06871947673600004}",20,5,10.12905729908957,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.054975581388800036}",20,0,15.720996054867063,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.043980465111040035}",20,9,-3.957774136570187,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.03518437208883203}",25,7,-25.92178780522665,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.028147497671065627}",20,6,-27.935934055041677,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.022517998136852502}",25,11,-31.38432927763161,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.018014398509482003}",25,14,20.487051751686952,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.014411518807585602}",20,13,12.860365952402816,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.011529215046068483}",30,18,20.49454375767953,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,15,9.750434373594182,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,18,-3.144285788959131,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,2,-12.356708492784097,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,14,11.70462604114213,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,7,-15.081744763370171,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-16.145378951414944,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,18.28401725607373,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,9,4.443810210576475,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,16.459769071836266,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,-21.641021939393593,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
