trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.0704371981018,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.86092005586976,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.66422948402533,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.032759490029314,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.49564973304183,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-221.88857460343436,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.2400712189377,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.96002699740308,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.17047394041242,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,3,-34.163593723860245,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.53937311106608,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.61730355873925,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.13420494991439,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.0260192577861,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.35978653124826,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-262.3313463536405,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.85330225444979,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-38.33757792261879,"{0: 22, 1: 6, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,11,-5.853863084483978,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.23799436500474,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-211.56674239935973,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.10995893438322,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.77952347130196,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.21541730118756,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.19927553583241,"{0: 14, 1: 8, 2: 1, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.18726065284049,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.77566333885432,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.19075852188513,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.54999406967,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,8,-14.08129081954161,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
